Site	Pollutant	Date	% Error	Value	Threshold	Threshold Adhered To
335112118090403	phosphorus	1997-04-23	0.6	0.16	0.1	USEPA_HA_NonCancer
335112118090403	phosphorus	1998-04-29	0.09999999999999995	0.11	0.1	USEPA_HA_NonCancer
335112118090404	phosphorus	1997-04-24	6.6	0.76	0.1	USEPA_HA_NonCancer
335112118090404	phosphorus	1998-04-30	12.399999999999999	1.34	0.1	USEPA_HA_NonCancer
335112118090406	phosphorus	1997-04-24	2.3	0.33	0.1	USEPA_HA_NonCancer
335112118090406	phosphorus	1997-06-26	1.7	0.27	0.1	USEPA_HA_NonCancer
335112118090406	phosphorus	1998-04-30	0.7999999999999998	0.18	0.1	USEPA_HA_NonCancer
335642118103703	phosphorus	2000-08-24	1.0399999999999998	0.204	0.1	USEPA_HA_NonCancer
335642118103705	phosphorus	2000-08-24	18.7	1.97	0.1	USEPA_HA_NonCancer
335818118051201	phosphorus	1999-03-31	5.2	0.62	0.1	USEPA_HA_NonCancer
335818118051206	phosphorus	1999-03-31	8.0	0.9	0.1	USEPA_HA_NonCancer
335943118042215	phosphorus	1997-04-14	23.3	2.43	0.1	USEPA_HA_NonCancer
335943118042220	phosphorus	1997-04-14	25.0	2.6	0.1	USEPA_HA_NonCancer
335943118042229	phosphorus	1997-04-14	10.0	1.1	0.1	USEPA_HA_NonCancer
335943118042243	phosphorus	1997-04-14	3.9	0.49	0.1	USEPA_HA_NonCancer
335943118042243	phosphorus	2000-08-02	13.599999999999998	1.46	0.1	USEPA_HA_NonCancer
335943118042245	phosphorus	2000-08-02	12.999999999999998	1.4	0.1	USEPA_HA_NonCancer
335943118042246	phosphorus	1997-04-14	27.399999999999995	2.84	0.1	USEPA_HA_NonCancer
335943118042246	phosphorus	1998-05-05	0.1999999999999999	0.12	0.1	USEPA_HA_NonCancer
335943118042246	phosphorus	1999-04-02	29.599999999999998	3.06	0.1	USEPA_HA_NonCancer
335943118042246	phosphorus	1999-06-30	15.999999999999998	1.7	0.1	USEPA_HA_NonCancer
335943118042246	phosphorus	1999-08-10	16.9	1.79	0.1	USEPA_HA_NonCancer
335943118042246	phosphorus	2000-08-02	14.899999999999999	1.59	0.1	USEPA_HA_NonCancer
335943118042247	phosphorus	1996-05-18	17.999999999999996	1.9	0.1	USEPA_HA_NonCancer
335943118042247	phosphorus	1998-05-05	19.599999999999998	2.06	0.1	USEPA_HA_NonCancer
